budget,method,method_label,target_psnr,runs,hits,hit_rate,mean_iter,mean_seconds
640,structsplat_onedge_residual_relocate,SS on-edge + residual relocate,26.0,8,4,0.5,220,0.3660566210746765
640,structsplat_onedge_residual_relocate,SS on-edge + residual relocate,28.0,8,2,0.25,136,0.23173773288726807
640,structsplat_onedge_residual_relocate,SS on-edge + residual relocate,30.0,8,2,0.25,263.5,0.4308236837387085
640,structsplat_onedge_residual_relocate,SS on-edge + residual relocate,32.0,8,2,0.25,427,0.6893335580825806
640,structsplat_onedge_residual_featurecap,SS on-edge + residual feature cap,22.0,8,8,1.0,105.125,0.18396642804145813
640,structsplat_onedge_residual_featurecap,SS on-edge + residual feature cap,24.0,8,8,1.0,247.5,0.393327534198761
640,structsplat_onedge_residual_featurecap,SS on-edge + residual feature cap,26.0,8,4,0.5,202.75,0.32868123054504395
640,structsplat_onedge_residual_featurecap,SS on-edge + residual feature cap,28.0,8,2,0.25,117.5,0.19390201568603516
640,structsplat_onedge_residual_featurecap,SS on-edge + residual feature cap,30.0,8,2,0.25,217.5,0.345786452293396
640,structsplat_onedge_residual_featurecap,SS on-edge + residual feature cap,32.0,8,2,0.25,376,0.5911468267440796
640,structsplat_onedge_tensor,SS on-edge + tensor,22.0,8,8,1.0,98.25,0.17296475172042847
640,structsplat_onedge_tensor,SS on-edge + tensor,24.0,8,8,1.0,253.875,0.3979199528694153
640,structsplat_onedge_tensor,SS on-edge + tensor,26.0,8,4,0.5,219.5,0.3374779224395752
640,structsplat_onedge_tensor,SS on-edge + tensor,28.0,8,2,0.25,112.5,0.1858224868774414
640,structsplat_onedge_tensor,SS on-edge + tensor,30.0,8,2,0.25,232.5,0.3509066104888916
640,structsplat_onedge_tensor,SS on-edge + tensor,32.0,8,2,0.25,439.5,0.6679302453994751
640,structsplat_onedge_tensor_featurecap,SS on-edge + tensor feature cap,22.0,8,8,1.0,91.875,0.1565263867378235
640,structsplat_onedge_tensor_featurecap,SS on-edge + tensor feature cap,24.0,8,8,1.0,228.25,0.3642989993095398
640,structsplat_onedge_tensor_featurecap,SS on-edge + tensor feature cap,26.0,8,4,0.5,192.5,0.3107273578643799
640,structsplat_onedge_tensor_featurecap,SS on-edge + tensor feature cap,28.0,8,2,0.25,107.5,0.1851041316986084
640,structsplat_onedge_tensor_featurecap,SS on-edge + tensor feature cap,30.0,8,2,0.25,196,0.29631471633911133
640,structsplat_onedge_tensor_featurecap,SS on-edge + tensor feature cap,32.0,8,2,0.25,319.5,0.4803342819213867
640,structsplat_flanking_tensor,SS flanking + tensor,22.0,8,8,1.0,99.25,0.1733030080795288
640,structsplat_flanking_tensor,SS flanking + tensor,24.0,8,8,1.0,254.125,0.3932379186153412
640,structsplat_flanking_tensor,SS flanking + tensor,26.0,8,4,0.5,211,0.3340027928352356
640,structsplat_flanking_tensor,SS flanking + tensor,28.0,8,2,0.25,122,0.18919610977172852
640,structsplat_flanking_tensor,SS flanking + tensor,30.0,8,2,0.25,248.5,0.3905303478240967
640,structsplat_flanking_tensor,SS flanking + tensor,32.0,8,2,0.25,439.5,0.6695147752761841
640,structsplat_quadtree_wse_residual,SS qt-WSE + residual,22.0,8,8,1.0,110.625,0.1872950792312622
640,structsplat_quadtree_wse_residual,SS qt-WSE + residual,24.0,8,8,1.0,253.25,0.3890502154827118
640,structsplat_quadtree_wse_residual,SS qt-WSE + residual,26.0,8,4,0.5,218.25,0.3362334370613098
640,structsplat_quadtree_wse_residual,SS qt-WSE + residual,28.0,8,2,0.25,123.5,0.2089860439300537
640,structsplat_quadtree_wse_residual,SS qt-WSE + residual,30.0,8,2,0.25,239.5,0.3733004331588745
640,structsplat_quadtree_wse_residual,SS qt-WSE + residual,32.0,8,2,0.25,395.5,0.5903931856155396
640,structsplat_quadtree_wse_residual_relocate,SS qt-WSE + residual relocate,22.0,8,8,1.0,118.875,0.20773321390151978
640,structsplat_quadtree_wse_residual_relocate,SS qt-WSE + residual relocate,24.0,8,8,1.0,260.375,0.4272138476371765
640,structsplat_quadtree_wse_residual_relocate,SS qt-WSE + residual relocate,26.0,8,4,0.5,214.75,0.3455083966255188
640,structsplat_quadtree_wse_residual_relocate,SS qt-WSE + residual relocate,28.0,8,2,0.25,133.5,0.2308577299118042
640,structsplat_quadtree_wse_residual_relocate,SS qt-WSE + residual relocate,30.0,8,2,0.25,279,0.47220802307128906
640,structsplat_quadtree_wse_residual_relocate,SS qt-WSE + residual relocate,32.0,8,2,0.25,441.5,0.7178337574005127
640,structsplat_quadtree_wse_residual_featurecap,SS qt-WSE + residual feature cap,22.0,8,8,1.0,103.125,0.17294266819953918
640,structsplat_quadtree_wse_residual_featurecap,SS qt-WSE + residual feature cap,24.0,8,6,0.75,173,0.27598341306050617
640,structsplat_quadtree_wse_residual_featurecap,SS qt-WSE + residual feature cap,26.0,8,4,0.5,203,0.32058268785476685
640,structsplat_quadtree_wse_residual_featurecap,SS qt-WSE + residual feature cap,28.0,8,2,0.25,116.5,0.19247543811798096
